"ID","DATE.OF.INTERVIEW","Upgraded.toilet.recently.","Emptied.the.toilet.before.","What.happens.when.the.toilet.gets.full.","Last.time.emptied","Was.the.fee.you.paid.affordable.","How.often.do.you.empty.your.toilet.","Years to full","Months to full","Perception.of.the.fill.level","Is.emptying.feasible."
"2755","2017-04-01","No","No","Empty and reuse",NA,NA,NA,3,NA,"Almost full","Yes"
"2756","2017-04-01","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Half-full","Yes"
"2757","2017-04-01","No","No","Empty and reuse",NA,NA,NA,4,NA,"Half-full","Yes"
"2758","2017-04-01","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"2759","2017-04-01","No","No","Other (please specify)",NA,NA,NA,0,1,"Almost full","Yes"
"2760","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Almost full",NA
"2761","2017-04-01","No","No","Empty and reuse",NA,NA,NA,4,0,"Almost empty","Yes"
"2762","2017-04-01","No","No","Empty and reuse",NA,NA,NA,2,NA,"Half-full","Yes"
"2763","2017-04-01","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Almost empty","Yes"
"2764","2017-04-01","No","Yes","Multiple options",NA,NA,NA,5,NA,"Half-full","Yes"
"2765","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,5,NA,"Full","Yes"
"2766","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Half-full","Yes"
"2767","2017-04-01","No","No","Empty and reuse",NA,NA,NA,0,2,"Full","Yes"
"2768","2017-04-01",NA,"No","Multiple options",NA,NA,NA,NA,9,"Almost full","Yes"
"2769","2017-04-01","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Almost full","Yes"
"2770","2017-04-01","No","No","Multiple options",NA,NA,NA,5,NA,"Almost full","Yes"
"2771","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,2,0,"Half-full","Yes"
"2772","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Full","Yes"
"2773","2017-04-01","No","No","Empty and reuse",NA,NA,NA,5,NA,"Almost empty","Yes"
"2774","2017-04-01","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Half-full","Yes"
"2775","2017-04-01","No","No","Empty and reuse",NA,NA,NA,1,NA,"Half-full","Yes"
"2776","2017-04-01","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Almost empty","Yes"
"2777","2017-04-01","No","Yes","Empty and reuse","Other (please specify)","Too expensive","Every 1 year Six Months",2,NA,"Half-full","Yes"
"2778","2017-04-01","Yes","Yes","Empty and reuse","Other (please specify)",NA,NA,NA,NA,"Half-full","No"
"2779","2017-04-01","No","No","Other (please specify)",NA,NA,NA,0,0,"Almost full","No"
"2780","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,8,NA,"Half-full","Yes"
"2781","2017-04-01","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Almost empty","Yes"
"2782","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Almost empty","Yes"
"2783","2017-04-01","No",NA,"Empty and reuse",NA,NA,NA,3,0,"Almost empty","Yes"
"2784","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Almost full",NA
"2785","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,"Almost full",NA
"2786","2017-04-01","No","No","Multiple options",NA,NA,NA,NA,NA,"Almost empty","Yes"
"2787","2017-04-01","No","No","Empty and reuse",NA,NA,NA,4,NA,"Almost empty","Yes"
"2788","2017-04-01","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Half-full","Yes"
"2789","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,11,"Almost full","Yes"
"2790","2017-04-01","No","No","Empty and reuse",NA,NA,NA,2,0,"Half-full","Yes"
"2791","2017-04-01","No","No","Empty and reuse",NA,NA,NA,6,NA,"Almost empty","No"
"2792","2017-04-01","No","No","Other (please specify)",NA,NA,NA,0,0,"Half-full","Yes"
"2793","2017-04-01","No","No","Empty and reuse",NA,NA,NA,1,NA,"Half-full","Yes"
"2794","2017-04-01","Yes","No","Multiple options",NA,NA,NA,NA,NA,"Half-full","Yes"
"2795","2017-04-01","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Almost empty","Yes"
"2796","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,NA,NA,NA,NA
"2797","2017-04-01","No","No","Empty and reuse",NA,NA,NA,NA,NA,"Half-full","Yes"
"2798","2017-04-01","No","No","Bury and dig another one",NA,NA,NA,3,NA,"Almost empty","Yes"
"2799","2017-04-01","No","No","Empty and reuse",NA,NA,NA,2,0,"Almost full","Yes"
"2800","2017-04-01","No","No","Other (please specify)",NA,NA,NA,NA,NA,"Almost empty","Yes"
