"","DATE.OF.INTERVIEW","X1.9..latitude.","X1.9..longitude.","X1.9..altitude.","area.m3","Perception.of.the.fill.level","people.using.toilet","days.to.fill","date.full","Transport"
"8068","2017-11-06",-15.440145,28.2254733,1288,4.5,"Half-full",8,2197.265625,"2023-11-12","Vacuum Tanker"
"8069","2017-11-06",-15.4399667,28.2219683,1273.2,4.5,"Half-full",7,2511.16071428571,"2024-09-21","Vacuum Tanker"
"8070","2017-11-06",-15.4323354097605,28.3203506469727,NA,4.5,"Almost empty",9,2929.6875,"2025-11-13","Vacuum Tanker"
"8071","2017-11-06",-15.4390467,28.2244567,1247.7,4.5,"Half-full",5,3515.625,"2027-06-22","Vacuum Tanker"
"8072","2017-11-06",-15.4392667,28.22482,1282.6,12.5,NA,11,4438.92045454545,"2029-12-31","Vacuum Tanker"
"8073","2017-11-06",-15.4400283,28.22157,1266.4,4.5,"Half-full",1,17578.125,"2065-12-22","Vacuum Tanker"
"8074","2017-11-06",-15.4391183,28.2250383,1258.3,12.5,"Half-full",7,6975.44642857143,"2036-12-11","Vacuum Tanker"
"8075","2017-11-06",-15.4388983,28.2248433,1285.8,4.5,"Half-full",8,2197.265625,"2023-11-12","Vacuum Tanker"
"8076","2017-11-06",-15.4390317,28.22487,1267.8,4.5,"Almost full",7,1255.58035714286,"2021-04-14","Vacuum Tanker"
"8077","2017-11-06",-15.440125,28.2211633,1266.5,12.5,"Half-full",0,Inf,NA,"Vacuum Tanker"
"8078","2017-11-06",-15.4353783,28.2320583,1267.1,0,"Half-full",16,0,"2017-11-06","Vacuum Tanker"
"8079","2017-11-03",-15.440155,28.2230583,1265.1,12.5,"Half-full",20,2441.40625,"2024-07-10","Vacuum Tanker"
"8080","2017-10-19",-15.42547,28.2359417,1241.4,12.5,"Almost full",15,1627.60416666667,"2022-04-03","Vacuum Tanker"
"8081","2017-11-06",-15.4406267,28.2213667,1274.9,4.5,"Almost full",17,517.003676470588,"2019-04-07","Vacuum Tanker"
"8082","2017-11-06",-15.440325,28.2231367,1256.1,0,"Half-full",21,0,"2017-11-06","Vacuum Tanker"
