"latitude","longitude","altitude"
-15.42332,28.2418867,1287.4
-15.4233283,28.2416917,1270.8
-15.4250583,28.24213,1279.8
-15.4229283,28.2421967,1395
NA,NA,NA
-15.4253,28.24214,1283.8
-15.4252083,28.2415683,1273.3
-15.43084,28.2482567,1263.8
-15.42543,28.24222,1284.3
NA,NA,NA
-15.4253983,28.241475,1267.2
-15.425445,28.2419633,1278.7
-15.42528,28.241735,1272.6
-15.4237133,28.24199,1287.2
-15.4235783,28.2419333,1276.1
-15.4235283,28.2425533,1354.9
-15.4253167,28.2411933,1288.7
-15.4237367,28.2417217,1296.6
-15.423635,28.2420633,1281.5
-15.4257517,28.2420633,1278
-15.425615,28.2419767,1261
-15.4308867,28.248395,1272
-15.4237333,28.24258,1312.7
-15.425345,28.2410933,1279.4
-15.423665,28.2425883,1276.1
NA,NA,NA
-15.424625,28.2412983,1276.9
-15.4245067,28.2409567,1271.2
-15.4249517,28.2411417,1272.7
-15.4314667,28.2484583,1277.1
-15.4244833,28.2416683,1276.9
-15.4248683,28.242085,1293.1
-15.424485,28.242145,1280
-15.4249683,28.24106,1283.1
-15.4242983,28.2422333,1183.7
-15.4314983,28.2489433,1269.2
-15.4240717,28.2414167,1291
NA,NA,NA
-15.4239433,28.2412333,1269.8
-15.423855,28.241265,1275.9
-15.4237267,28.2429583,870.6
-15.4242833,28.2431517,1277.3
-15.4244433,28.2431533,1271.8
-15.4242833,28.24138,1265
-15.4314067,28.2491367,1286.4
-15.4238783,28.2419083,1276.7
-15.4240733,28.243405,1252.9
-15.4244433,28.2433633,1267.2
-15.4239383,28.241525,1269.9
-15.4242667,28.241575,1277.7
-15.4242083,28.24167,1245.7
-15.4240867,28.2435567,1264.8
-15.4241683,28.2419067,1269.1
-15.4241183,28.2436783,1279.1
-15.4240967,28.242355,1274.1
-15.4242417,28.2440533,1275.4
-15.4242283,28.24439,1272
-15.42387,28.242265,1276.3
-15.4239867,28.2427983,1273.1
-15.4244317,28.2424367,1271.2
-15.4241,28.2425767,1271.4
-15.4243467,28.242755,1267.4
-15.4241033,28.2428667,1272.2
-15.4242167,28.242885,1264.9
-15.431315,28.2495017,1279
-15.4245333,28.2429067,1279.8
